관리번호,공원명,공원구분,소재지도로명주소,소재지지번주소,위도,경도,공원면적,공원보유시설(운동시설),공원보유시설(유희시설),공원보유시설(편익시설),공원보유시설(교양시설),공원보유시설(기타시설),지정고시일,관리기관명,전화번호,데이터기준일자
11500-00018,수명산,근린공원,,서울특별시 강서구 내발산동 748,37.550967,126.829893,83807.1,배드민턴장+테니스장+다목적체육관,,화장실+음수대,,,2003-12-26,서울특별시 강서구청,02-2600-4186,2023-03-10
11500-00019,발산,근린공원,,서울특별시 강서구 내발산동 739,37.55454,126.825837,17825.5,게이트볼장,수경시설,화장실+음수대,,,2005-02-01,서울특별시 강서구청,02-2600-4186,2023-03-10
11500-00020,서울식물원,근린공원,,서울특별시 강서구 마곡동 255-1,37.569824,126.83183,503875,,어린이놀이시설,화장실+매점+주차장,,식물원(온실),2007-12-28,서울특별시 강서구청,02-2104-9716,2023-03-10
11500-00021,마곡나루,근린공원,,서울특별시 강서구 방화동 210-1,37.566183,126.813091,17283,,,음수대,,,2007-12-28,서울특별시 강서구청,02-2600-4186,2023-03-10
11500-00022,마곡하늬,근린공원,,서울특별시 강서구 공항동 1220,37.556699,126.812659,24597,,,화장실+음수대,,,2007-12-28,서울특별시 강서구청,02-2600-4186,2023-03-10
11500-00023,이수,어린이공원,,서울특별시 강서구 염창동 281-3,37.548299,126.874234,1805.1,,어린이놀이시설,화장실,,,,서울특별시 강서구청,02-2600-4202,2023-03-10
11500-00024,백합,어린이공원,,서울특별시 강서구 염창동 267-24,37.551163,126.869438,939.3,,어린이놀이시설,,,,,서울특별시 강서구청,02-2600-4202,2023-03-10
11500-00025,아리수,어린이공원,,서울특별시 강서구 염창동 299-3,37.551693,126.875286,862.5,,어린이놀이시설,,,,,서울특별시 강서구청,02-2600-4202,2023-03-10
11500-00026,등서,어린이공원,,서울특별시 강서구 등촌동 639-2,37.559235,126.854759,879.7,,어린이놀이시설,,,,,서울특별시 강서구청,02-2600-4202,2023-03-10
11500-00027,백석,어린이공원,,서울특별시 강서구 등촌동 646-41,37.55261,126.863328,993.6,,어린이놀이시설,화장실,,,,서울특별시 강서구청,02-2600-4202,2023-03-10
11500-00028,등마루,어린이공원,,서울특별시 강서구 등촌동 641-5,37.556036,126.857412,970.9,,어린이놀이시설,,,,,서울특별시 강서구청,02-2600-4202,2023-03-10
11500-00029,도림,어린이공원,,서울특별시 강서구 등촌동 635-1,37.555596,126.862861,1033.8,,어린이놀이시설,,,,,서울특별시 강서구청,02-2600-4202,2023-03-10
11500-00030,능안,어린이공원,,서울특별시 강서구 등촌동 517-1,37.546638,126.859908,853.9,,어린이놀이시설,음수대,,,,서울특별시 강서구청,02-2600-4202,2023-03-10
11500-00031,한마음,어린이공원,,서울특별시 강서구 등촌동 690-3,37.560521,126.843248,1791.8,,수경시설+어린이놀이시설,음수대,,,,서울특별시 강서구청,02-2600-4183,2023-03-10
11500-00032,새나라,어린이공원,,서울특별시 강서구 등촌동 707-2,37.561557,126.852004,1563.4,,어린이놀이시설,,,,,서울특별시 강서구청,02-2600-4183,2023-03-10
11500-00033,백합,어린이공원,,서울특별시 강서구 등촌동 695-4,37.559219,126.844996,1547.4,,어린이놀이시설,,,,,서울특별시 강서구청,02-2600-4183,2023-03-10
11500-00034,채송화,어린이공원,,서울특별시 강서구 등촌동 694-1,37.562841,126.846117,1544.9,농구장,어린이놀이시설,,,,,서울특별시 강서구청,02-2600-4183,2023-03-10
11500-00035,푸르매,어린이공원,,서울특별시 강서구 등촌동 705-3,37.559023,126.847504,1538.3,,어린이놀이시설,,,,,서울특별시 강서구청,02-2600-4183,2023-03-10
11500-00036,새벗,어린이공원,,서울특별시 강서구 등촌동 688-3,37.560711,126.840304,1565.8,,수경시설+어린이놀이시설,,,,,서울특별시 강서구청,02-2600-4183,2023-03-10
11500-00037,코끼리,어린이공원,,서울특별시 강서구 등촌동 702-1,37.563238,126.848535,1594.5,,어린이놀이시설,,,,,서울특별시 강서구청,02-2600-4183,2023-03-10
11500-00038,구름,어린이공원,,서울특별시 강서구 화곡동 98-22,37.543303,126.844116,833,,어린이놀이시설,화장실+음수대,,,,서울특별시 강서구청,02-2600-4202,2023-03-10
11500-00039,볏골,어린이공원,,서울특별시 강서구 화곡동 98-99,37.541815,126.844354,4219,,수경시설+어린이놀이시설,,,,,서울특별시 강서구청,02-2600-4202,2023-03-10
11500-00040,노을,어린이공원,,서울특별시 강서구 화곡동 105-194,37.539837,126.843928,1031,,어린이놀이시설,,,,,서울특별시 강서구청,02-2600-4202,2023-03-10
11500-00041,까치산,어린이공원,,서울특별시 강서구 화곡동 102-206,37.53828,126.844436,1805,,어린이놀이시설,,,,,서울특별시 강서구청,02-2600-4202,2023-03-10
11500-00042,비둘기,어린이공원,,서울특별시 강서구 화곡동 61-96,37.541392,126.846938,1086,,어린이놀이시설,,,,,서울특별시 강서구청,02-2600-4202,2023-03-10
11500-00043,큰별,어린이공원,,서울특별시 강서구 화곡동 46-41,37.544454,126.848941,1067,,어린이놀이시설,,,,,서울특별시 강서구청,02-2600-4202,2023-03-10
11500-00044,꿈돌이,어린이공원,,서울특별시 강서구 화곡동 24-128,37.546097,126.845352,1507,,어린이놀이시설,화장실,,,,서울특별시 강서구청,02-2600-4202,2023-03-10
11500-00045,소나무,어린이공원,,서울특별시 강서구 화곡동 29-31,37.547058,126.847807,942,,어린이놀이시설,,,,,서울특별시 강서구청,02-2600-4202,2023-03-10
11500-00046,산새,어린이공원,,서울특별시 강서구 화곡동 772,37.546268,126.850385,539,,어린이놀이시설,음수대,,,,서울특별시 강서구청,02-2600-4202,2023-03-10
11500-00047,박장,어린이공원,,서울특별시 강서구 화곡동 56-25,37.540768,126.849087,929,,어린이놀이시설,,,,,서울특별시 강서구청,02-2600-4202,2023-03-10
11500-00048,참새,어린이공원,,서울특별시 강서구 화곡동 56-638,37.539725,126.847003,256,,어린이놀이시설,,,,,서울특별시 강서구청,02-2600-4202,2023-03-10
11500-00049,한글,어린이공원,,서울특별시 강서구 화곡동 56-3,37.538536,126.850451,965,,어린이놀이시설,,,,,서울특별시 강서구청,02-2600-4202,2023-03-10
11500-00050,효심,어린이공원,,서울특별시 강서구 화곡동 922-10,37.529495,126.840632,1056.5,,어린이놀이시설,음수대,,,,서울특별시 강서구청,02-2600-4112,2023-03-10
11500-00051,버들,어린이공원,,서울특별시 강서구 화곡동 424-45,37.531101,126.841222,1087.2,,어린이놀이시설,음수대,,,,서울특별시 강서구청,02-2600-4112,2023-03-10
11500-00052,필마,어린이공원,,서울특별시 강서구 화곡동 355-12,37.531491,126.83882,1615.5,,어린이놀이시설,,,,,서울특별시 강서구청,02-2600-4112,2023-03-10
11500-00053,다운,어린이공원,,서울특별시 강서구 화곡동 346-26,37.532101,126.844653,1290.6,,어린이놀이시설,음수대,,,,서울특별시 강서구청,02-2600-4112,2023-03-10
11500-00054,호돌이,어린이공원,,서울특별시 강서구 화곡동 906-26,37.528191,126.846009,811.6,,어린이놀이시설,,,,,서울특별시 강서구청,02-2600-4112,2023-03-10
11500-00055,곰돌이,어린이공원,,서울특별시 강서구 화곡동 900-46,37.529614,126.845017,1006.9,,어린이놀이시설,,,,,서울특별시 강서구청,02-2600-4112,2023-03-10
11500-00056,골말,어린이공원,,서울특별시 강서구 화곡동 865-1,37.533313,126.85605,977.9,,어린이놀이시설,,,,,서울특별시 강서구청,02-2600-4112,2023-03-10
11500-00057,뜸부기,어린이공원,,서울특별시 강서구 화곡동 845-19,37.530115,126.856902,998.4,,어린이놀이시설,,,,,서울특별시 강서구청,02-2600-4112,2023-03-10
11500-00058,하마터,어린이공원,,서울특별시 강서구 화곡동 883-3,37.530115,126.853739,1026.8,,어린이놀이시설,음수대,,,,서울특별시 강서구청,02-2600-4112,2023-03-10
11500-00059,바탕골,어린이공원,,서울특별시 강서구 화곡동 1016-34,37.5447,126.834711,976.6,,어린이놀이시설,,,,,서울특별시 강서구청,02-2600-4112,2023-03-10
11500-00060,미리내,어린이공원,,서울특별시 강서구 화곡동 1008-32,37.547649,126.834751,967.5,,어린이놀이시설,음수대,,,,서울특별시 강서구청,02-2600-4112,2023-03-10
11500-00061,수명산,어린이공원,,서울특별시 강서구 화곡동 1044-31,37.540958,126.834336,984.9,,어린이놀이시설,,,,,서울특별시 강서구청,02-2600-4112,2023-03-10
11500-00062,대원,어린이공원,,서울특별시 강서구 화곡동 1022,37.544928,126.835911,276.9,,,,,,,서울특별시 강서구청,02-2600-4112,2023-03-10
11500-00063,천사,어린이공원,,서울특별시 강서구 화곡동 1139-1,37.54683,126.833001,2395.2,,어린이놀이시설,,,,,서울특별시 강서구청,02-2600-4112,2023-03-10
11500-00064,두레,어린이공원,,서울특별시 강서구 화곡동 792-9,37.531104,126.859414,986.1,,어린이놀이시설,,,,,서울특별시 강서구청,02-2600-4202,2023-03-10
11500-00065,달빛,어린이공원,,서울특별시 강서구 화곡동783-1,37.531248,126.862932,976.2,,어린이놀이시설,음수대,,,,서울특별시 강서구청,02-2600-4202,2023-03-10
11500-00066,무지개,어린이공원,,서울특별시 강서구 화곡동806-10,37.533937,126.861301,976.2,,어린이놀이시설,,,,,서울특별시 강서구청,02-2600-4202,2023-03-10
11500-00067,능골,어린이공원,,서울특별시 강서구 화곡동468-1,37.536752,126.855316,997.2,,어린이놀이시설,,,,,서울특별시 강서구청,02-2600-4202,2023-03-10
11500-00068,종달새,어린이공원,,서울특별시 강서구 화곡동819-5,37.535302,126.858021,991.4,,어린이놀이시설,음수대,,,,서울특별시 강서구청,02-2600-4202,2023-03-10
11500-00069,화곡2주구1,어린이공원,,서울특별시 강서구 화곡동1159-2,37.550201,126.838658,2438.3,,수경시설,음수대,,,,서울특별시 강서구청,02-2600-4112,2023-03-10
11500-00070,화곡2주구2,어린이공원,,서울특별시 강서구 화곡동1159-3,37.548723,126.8387,2438.2,,수경시설+어린이놀이시설,음수대,,,,서울특별시 강서구청,02-2600-4112,2023-03-10
11500-00071,범바위,어린이공원,,서울특별시 강서구 화곡동1061-36,37.543234,126.841377,973.6,,어린이놀이시설,,,,,서울특별시 강서구청,02-2600-4112,2023-03-10
11500-00072,개나리,어린이공원,,서울특별시 강서구 화곡동75-3,37.548372,126.844024,285,,어린이놀이시설,,,,,서울특별시 강서구청,02-2600-4112,2023-03-10
11500-00073,화곡3주구1,어린이공원,,서울특별시 강서구 화곡동1165-2,37.54614,126.836964,4504.2,,수경시설+어린이놀이시설,,,,,서울특별시 강서구청,02-2600-4112,2023-03-10
11500-00074,화곡3주구2,어린이공원,,서울특별시 강서구 화곡동1165-6,37.545177,126.840547,3466.8,,수경시설+어린이놀이시설,,,,,서울특별시 강서구청,02-2600-4112,2023-03-10
11500-00075,역말,어린이공원,,서울특별시 강서구 화곡동978-18,37.549726,126.848944,982.1,,어린이놀이시설,음수대,,,,서울특별시 강서구청,02-2600-4202,2023-03-10
11500-00076,새말,어린이공원,,서울특별시 강서구 화곡동994-5,37.552035,126.846474,969.6,,어린이놀이시설,음수대,,,,서울특별시 강서구청,02-2600-4202,2023-03-10
11500-00077,연지,어린이공원,,서울특별시 강서구 화곡동1109,37.554707,126.853537,629.1,운동기구,,음수대,,,,서울특별시 강서구청,02-2600-4202,2023-03-10
11500-00078,백연,어린이공원,,서울특별시 강서구 화곡동980-2,37.550667,126.851903,1107.4,,어린이놀이시설,음수대,,,,서울특별시 강서구청,02-2600-4202,2023-03-10
11500-00079,솔뫼,어린이공원,,서울특별시 강서구 화곡동379-32,37.538112,126.838674,1981.5,,어린이놀이시설,,,,,서울특별시 강서구청,02-2600-4202,2023-03-10
11500-00080,월정,어린이공원,,서울특별시 강서구 화곡동372-26,37.535153,126.836008,1181.5,,어린이놀이시설,,,,,서울특별시 강서구청,02-2600-4202,2023-03-10
11500-00081,초롱,어린이공원,,서울특별시 강서구 화곡동1088-16,37.5381,126.836229,946,,어린이놀이시설,,,,,서울특별시 강서구청,02-2600-4202,2023-03-10
11500-00082,은행,어린이공원,,서울특별시 강서구 화곡동369-11,37.535821,126.840511,1123.6,,어린이놀이시설,,,,,서울특별시 강서구청,02-2600-4202,2023-03-10
11500-00083,까치산,어린이공원,,서울특별시 강서구 화곡동354-14,37.533488,126.841904,1163.6,,어린이놀이시설,,,,,서울특별시 강서구청,02-2600-4202,2023-03-10
11500-00084,배다리,어린이공원,,서울특별시 강서구 화곡동341-24,37.532144,126.848303,1630.1,,어린이놀이시설,,,,,서울특별시 강서구청,02-2600-4112,2023-03-10
11500-00085,안골,어린이공원,,서울특별시 강서구 화곡동155-1,37.535964,126.850746,2381.8,,어린이놀이시설,음수대,,,,서울특별시 강서구청,02-2600-4112,2023-03-10
11500-00086,대무,어린이공원,,서울특별시 강서구 화곡동409-84,37.538002,126.847506,946,,어린이놀이시설,,,,,서울특별시 강서구청,02-2600-4112,2023-03-10
11500-00087,모태,어린이공원,,서울특별시 강서구 화곡동892-17,37.529543,126.849512,1003.4,,어린이놀이시설,,,,,서울특별시 강서구청,02-2600-4112,2023-03-10
11500-00088,더부리,어린이공원,,서울특별시 강서구 화곡동339-19,37.534902,126.846751,1263.7,,어린이놀이시설,,,,,서울특별시 강서구청,02-2600-4112,2023-03-10
11500-00089,나들이,어린이공원,,서울특별시 강서구 가양동 1459-1,37.571854,126.844243,1500,,어린이놀이시설,화장실+음수대,,,,서울특별시 강서구청,02-2600-4183,2023-03-10
11500-00090,아름,어린이공원,,서울특별시 강서구 가양동 1465,37.568594,126.848864,1956,,어린이놀이시설,화장실,,,,서울특별시 강서구청,02-2600-4183,2023-03-10
11500-00091,꽃동네,어린이공원,,서울특별시 강서구 가양동 1461-1,37.570095,126.847132,1510,,어린이놀이시설,화장실,,,,서울특별시 강서구청,02-2600-4183,2023-03-10
11500-00092,가양,어린이공원,,서울특별시 강서구 가양동 1462-2,37.569758,126.844804,1500,,어린이놀이시설,,,,,서울특별시 강서구청,02-2600-4183,2023-03-10
11500-00093,엄지,어린이공원,,서울특별시 강서구 가양동 1474-1,37.56581,126.854721,1511.6,,어린이놀이시설,,,,,서울특별시 강서구청,02-2600-4183,2023-03-10
11500-00094,무지개,어린이공원,,서울특별시 강서구 가양동 1478-1,37.565086,126.851657,1500,,어린이놀이시설,,,,,서울특별시 강서구청,02-2600-4183,2023-03-10
11500-00095,풀피리,어린이공원,,서울특별시 강서구 가양동 1481-1,37.563578,126.8545999,1562,,어린이놀이시설,화장실,,,,서울특별시 강서구청,02-2600-4183,2023-03-10
11500-00096,곰돌이,어린이공원,,서울특별시 강서구 가양동 1482-1,37.562311,126.857433,1612.3,,어린이놀이시설,화장실+음수대,,,,서울특별시 강서구청,02-2600-4202,2023-03-10
11500-00097,비둘기,어린이공원,,서울특별시 강서구 가양동 1489-1,37.559504,126.862944,1622.8,,어린이놀이시설,화장실+음수대,,,,서울특별시 강서구청,02-2600-4202,2023-03-10
11500-00098,진달래,어린이공원,,서울특별시 강서구 가양동 1486-1,37.562375,126.860979,1500,,어린이놀이시설,,,,,서울특별시 강서구청,02-2600-4202,2023-03-10
11500-00099,발음,어린이공원,,서울특별시 강서구 내발산동 697,37.552042,126.833204,913.6,,어린이놀이시설,,,,,서울특별시 강서구청,02-2600-4112,2023-03-10
11500-00100,광명,어린이공원,,서울특별시 강서구 내발산동 221-1,37.546857,126.822944,1739,,어린이놀이시설,,,,,서울특별시 강서구청,02-2600-4112,2023-03-10
11500-00101,수정,어린이공원,,서울특별시 강서구 내발산동 741-2,37.554043,126.828743,4000.3,,어린이놀이시설,,,,,서울특별시 강서구청,02-2600-4112,2023-03-10
11500-00102,은행나무,어린이공원,,서울특별시 강서구 내발산동 753-1,37.552158,126.823201,1764.4,,,,,,,서울특별시 강서구청,02-2600-4112,2023-03-10
11500-00103,신광명,어린이공원,,서울특별시 강서구 내발산동 761,37.547313,126.823007,8596.6,,어린이놀이시설,,,,,서울특별시 강서구청,02-2600-4112,2023-03-10
11500-00104,원당,어린이공원,,서울특별시 강서구 내발산동 650,37.557413,126.842084,992,,어린이놀이시설,,,,,서울특별시 강서구청,02-2600-4112,2023-03-10
11500-00105,가곡,어린이공원,,서울특별시 강서구 내발산동 657-2,37.555964,126.837765,2747.9,,어린이놀이시설,,,,,서울특별시 강서구청,02-2600-4112,2023-03-10
11500-00106,꿈빛,어린이공원,,서울특별시 강서구 내발산동 657-3,37.556117,126.840003,1500,,어린이놀이시설,,,,,서울특별시 강서구청,02-2600-4112,2023-03-10
11500-00107,활주로,어린이공원,,서울특별시 강서구 공항동1341,37.554212,126.815978,2116.4,,어린이놀이시설,,,,,서울특별시 강서구청,02-2600-4183,2023-03-10
11500-00108,다솔,어린이공원,,서울특별시 강서구 공항동1361,37.554428,126.818292,2492.7,,수경시설+어린이놀이시설,음수대,,,,서울특별시 강서구청,02-2600-4183,2023-03-10
11500-00109,장미,어린이공원,,서울특별시 강서구 공항동668,37.556809,126.813805,1661.5,,어린이놀이시설,화장실,,,,서울특별시 강서구청,02-2600-4183,2023-03-10
11500-00110,송정,어린이공원,,서울특별시 강서구 공항동42-11,37.560635,126.811276,397,,어린이놀이시설,,,,,서울특별시 강서구청,02-2600-4183,2023-03-10
11500-00111,쌈지,어린이공원,,서울특별시 강서구 방화동 266-24,37.571268,126.814976,3973,농구장,어린이놀이시설,음수대,,,,서울특별시 강서구청,02-2600-4183,2023-03-10
11500-00112,개나리,어린이공원,,서울특별시 강서구 방화동 569-14,37.573113,126.812217,252,,,,,,,서울특별시 강서구청,02-2600-4183,2023-03-10
11500-00113,긴등,어린이공원,,서울특별시 강서구 방화동 247-201,37.56802,126.816194,253,,어린이놀이시설,,,,,서울특별시 강서구청,02-2600-4183,2023-03-10
11500-00114,문성,어린이공원,,서울특별시 강서구 방화동 608-112,37.564839,126.815435,254,,어린이놀이시설,,,,,서울특별시 강서구청,02-2600-4183,2023-03-10
11500-00115,새싹,어린이공원,,서울특별시 강서구 방화동 448-5,37.574806,126.812748,334,,어린이놀이시설,,,,,서울특별시 강서구청,02-2600-4183,2023-03-10
11500-00116,도레미,어린이공원,,서울특별시 강서구 방화동 184-66,37.571792,126.819136,6649,,수경시설+어린이놀이시설,화장실+음수대,,,,서울특별시 강서구청,02-2600-4183,2023-03-10
11500-00117,들꽃,어린이공원,,서울특별시 강서구 방화동 890-1,37.570615,126.821227,705,,어린이놀이시설,,,,,서울특별시 강서구청,02-2600-4183,2023-03-10
11500-00118,봉선화,어린이공원,,서울특별시 강서구 방화동 645-13,37.566522,126.806987,552,,,,,,,서울특별시 강서구청,02-2600-4183,2023-03-10
11500-00119,민들레,어린이공원,,서울특별시 강서구 방화동 648-13,37.567221,126.806731,589,,어린이놀이시설,,,,,서울특별시 강서구청,02-2600-4183,2023-03-10
11500-00120,내촌,어린이공원,,서울특별시 강서구 방화동 551-26,37.570073,126.808687,1149,농구장,어린이놀이시설,,,,,서울특별시 강서구청,02-2600-4183,2023-03-10
11500-00121,신대부석,어린이공원,,서울특별시 강서구 방화동 411,37.583724,126.816494,1132,,어린이놀이시설,,,,,서울특별시 강서구청,02-2600-4183,2023-03-10
11500-00122,목련,어린이공원,,서울특별시 강서구 방화동 616-1,37.564958,126.807825,251,,,,,,,서울특별시 강서구청,02-2600-4183,2023-03-10
11500-00123,샛별,어린이공원,,서울특별시 강서구 방화동 558,37.572732,126.809505,294,,어린이놀이시설,,,,,서울특별시 강서구청,02-2600-4183,2023-03-10
11500-00124,새싹교통,어린이공원,,서울특별시 강서구 방화동 583,37.569485,126.809344,4939,,수경시설+어린이놀이시설,화장실,,,,서울특별시 강서구청,02-2600-4183,2023-03-10
11500-00125,은하수,어린이공원,,서울특별시 강서구 방화동 853,37.570507,126.806548,3825.8,농구장,어린이놀이시설,,,,,서울특별시 강서구청,02-2600-4183,2023-03-10
11500-00126,능말,어린이공원,,서울특별시 강서구 방화동 815,37.577955,126.810607,1520.7,,어린이놀이시설,,,,,서울특별시 강서구청,02-2600-4183,2023-03-10
11500-00127,메아리,어린이공원,,서울특별시 강서구 방화동 826,37.578615,126.814351,1511.6,,어린이놀이시설,,,,,서울특별시 강서구청,02-2600-4183,2023-03-10
11500-00128,느티,어린이공원,,서울특별시 강서구 방화동 799,37.579421,126.810313,1512.9,,어린이놀이시설,,,,,서울특별시 강서구청,02-2600-4183,2023-03-10
11500-00129,돌샘,어린이공원,,서울특별시 강서구 방화동 837,37.576054,126.818966,1500.3,,어린이놀이시설,,,,,서울특별시 강서구청,02-2600-4183,2023-03-10
11500-00130,꿈나무,어린이공원,,서울특별시 강서구 방화동 840,37.575194,126.818941,1500.2,,어린이놀이시설,,,,,서울특별시 강서구청,02-2600-4183,2023-03-10
11500-00131,개화,어린이공원,,서울특별시 강서구 방화동 818,37.580248,126.812534,1512.2,,어린이놀이시설,,,,,서울특별시 강서구청,02-2600-4183,2023-03-10
11500-00132,긴등마을,어린이공원,,서울특별시 강서구 공항동 4-36,37.563075,126.818681,1645.3,,어린이놀이시설,,,,,서울특별시 강서구청,02-2600-4202,2023-03-10
11500-00133,꿈자람,어린이공원,,서울특별시 강서구 공항동 484,37.564793,126.819154,2014,,어린이놀이시설,음수대,,,,서울특별시 강서구청,02-2600-4267,2023-03-10
11500-00134,다솜,어린이공원,,서울특별시 강서구 공항동 4,37.563003,126.818161,511,,어린이놀이시설,,,,,서울특별시 강서구청,02-2600-4267,2023-03-10
11500-00135,풀잎,어린이공원,,서울특별시 강서구 공항동 705,37.556989,126.816565,1945,,어린이놀이시설,,,,,서울특별시 강서구청,02-2600-4267,2023-03-10
11500-00136,푸르미,어린이공원,,서울특별시 강서구 마곡동 316-1,37.570478,126.825219,1494,,어린이놀이시설,음수대,,,,서울특별시 강서구청,02-2600-4267,2023-03-10
11500-00137,예솔,어린이공원,,서울특별시 강서구 마곡동 397-1,37.563629,126.822694,864,,수경시설+어린이놀이시설,음수대,,,,서울특별시 강서구청,02-2600-4267,2023-03-10
11500-00138,솔,어린이공원,,서울특별시 강서구 외발산동 69-1,37.555856,126.825767,2000,,어린이놀이시설,음수대,,,,서울특별시 강서구청,02-2600-4267,2023-03-10
11500-00139,햇빛,어린이공원,,서울특별시 강서구 내발산동 384-2,37.555822,126.826886,2066,,어린이놀이시설,음수대,,,,서울특별시 강서구청,02-2600-4267,2023-03-10
11500-00140,마곡지구4호,근린공원,,서울특별시 강서구 마곡동 811-5,37.568317,126.826463,35884,,수경시설+어린이놀이시설,화장실,,,,서울특별시 강서구청,02-2600-4186,2023-03-10
11500-00141,푸른수명산,소공원,,서울특별시 강서구 화곡동 1091-15,37.54417542,126.8302686,822.9,,,,,,,서울특별시 강서구청,02-2600-4267,2023-03-10
11500-00142,마곡,소공원,,서울특별시 강서구 마곡동 737-16,37.567478,126.822146,1085.2,,,,,,,서울특별시 강서구청,02-2600-4267,2023-03-10
11500-00143,염창,소공원,,서울특별시 강서구염창동 309-1,37.549839,126.870745,1229.2,,,,,,,서울특별시 강서구청,02-2600-4267,2023-03-10
11500-00144,염창2,소공원,,서울특별시 강서구염창동 306-1,37.55172155,126.8738566,272.5,,,,,,,서울특별시 강서구청,02-2600-4267,2023-03-10
11500-00145,탑산(가양동),문화공원,,서울특별시 강서구가양동 1499,37.56619429,126.8463361,3783.8,운동기구,수경시설,음수대,,,,서울특별시 강서구청,02-2600-4267,2023-03-10
11500-00146,새개,문화공원,,서울특별시 강서구마곡동 800-7,37.558287,126.83003,3836.6,운동기구,,,,,,서울특별시 강서구청,02-2600-4267,2023-03-10
11500-00147,놋다리,문화공원,,서울특별시 강서구마곡동 790-6,37.566207,126.84614,2574.7,운동기구,,,,,,서울특별시 강서구청,02-2600-4267,2023-03-10
11500-00148,똘고랑,문화공원,,서울특별시 강서구 마곡동 756-4,37.571433,126.826326,3089.9,운동기구,,,,,,서울특별시 강서구청,02-2600-4267,2023-03-10
11500-00149,선두암,문화공원,,서울특별시 강서구 마곡동 778-4,37.567379,126.83817,2581.3,,,,,,,서울특별시 강서구청,02-2600-4267,2023-03-10
11500-00150,한다리,문화공원,,서울특별시 강서구 마곡동 727-1038,37.56106028,126.8303694,8298,,,,,,,서울특별시 강서구청,02-2600-4267,2023-03-10
